# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 7.762e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 7.943e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 8.128e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 8.318e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 8.511e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 8.710e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 8.913e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 9.120e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 9.333e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 9.550e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 9.772e+05      0.000      0.000   0.00e+00   0.00e+00              b''
 1.000e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.023e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.047e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.072e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.096e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.122e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.148e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.175e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.202e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.230e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.259e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.288e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.318e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.349e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.380e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.413e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.445e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.479e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.514e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.549e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.585e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.622e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.660e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.698e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.738e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.778e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.820e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.862e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.905e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.950e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 1.995e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.042e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.089e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.138e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.188e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.239e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.291e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.344e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.399e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.455e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.512e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.570e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.630e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.692e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.754e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.818e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.884e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.951e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 3.020e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 3.090e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 3.162e+06      0.000      0.000   0.00e+00   0.00e+00              b''
