# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 2.399e+05      5.420      3.073  -1.36e-02   4.63e-09  b'Ra2.399e+05_'
 2.455e+05      5.435      3.088  -1.33e-02   5.74e-09  b'Ra2.455e+05_'
 2.512e+05      5.449      3.102  -1.31e-02   2.83e-09  b'Ra2.512e+05_'
 2.570e+05      5.464      3.117  -1.28e-02   5.62e-09  b'Ra2.570e+05_'
 2.630e+05      5.479      3.131  -1.25e-02   3.93e-09  b'Ra2.630e+05_'
 2.692e+05      5.494      3.146  -1.22e-02   3.05e-09  b'Ra2.692e+05_'
 2.754e+05      5.509      3.160  -1.20e-02   2.93e-09  b'Ra2.754e+05_'
 2.818e+05      5.524      3.175  -1.17e-02   2.72e-09  b'Ra2.818e+05_'
 2.884e+05      5.539      3.190  -1.15e-02   3.72e-09  b'Ra2.884e+05_'
 2.951e+05      5.554      3.204  -1.12e-02   3.21e-09  b'Ra2.951e+05_'
 3.020e+05      5.570      3.219  -1.10e-02   3.03e-09  b'Ra3.020e+05_'
 3.090e+05      5.585      3.233  -1.08e-02   5.43e-09  b'Ra3.090e+05_'
 3.162e+05      5.600      3.248  -1.05e-02   7.31e-09  b'Ra3.162e+05_'
 3.236e+05      5.616      3.262  -1.03e-02   3.47e-09  b'Ra3.236e+05_'
 3.311e+05      5.631      3.277  -1.01e-02   4.02e-09  b'Ra3.311e+05_'
 3.388e+05      5.646      3.291  -9.92e-03   5.56e-09  b'Ra3.388e+05_'
 3.467e+05      5.662      3.306  -9.74e-03   2.67e-09  b'Ra3.467e+05_'
 3.548e+05      5.678      3.320  -9.56e-03   4.15e-09  b'Ra3.548e+05_'
 3.631e+05      5.693      3.335  -9.39e-03   3.11e-09  b'Ra3.631e+05_'
 3.715e+05      5.709      3.349  -9.24e-03   3.30e-09  b'Ra3.715e+05_'
 3.802e+05      5.724      3.364  -9.10e-03   4.14e-09  b'Ra3.802e+05_'
 3.890e+05      5.740      3.378  -8.97e-03   2.86e-09  b'Ra3.890e+05_'
 3.981e+05      5.755      3.393  -8.86e-03   3.07e-09  b'Ra3.981e+05_'
 4.074e+05      5.771      3.407  -8.76e-03   4.84e-09  b'Ra4.074e+05_'
 4.169e+05      5.786      3.422  -8.67e-03   7.15e-09  b'Ra4.169e+05_'
 4.266e+05      5.802      3.436  -8.61e-03   4.28e-09  b'Ra4.266e+05_'
 4.365e+05      5.817      3.450  -8.56e-03   3.01e-09  b'Ra4.365e+05_'
 4.467e+05      5.832      3.465  -8.53e-03   4.04e-09  b'Ra4.467e+05_'
 4.571e+05      5.848      3.479  -8.52e-03   4.14e-09  b'Ra4.571e+05_'
 4.677e+05      5.863      3.494  -8.53e-03   5.27e-09  b'Ra4.677e+05_'
 4.786e+05      5.878      3.508  -8.57e-03   4.62e-09  b'Ra4.786e+05_'
 4.898e+05      5.893      3.523  -8.63e-03   2.85e-09  b'Ra4.898e+05_'
 5.012e+05      5.909      3.538  -8.71e-03   2.84e-09  b'Ra5.012e+05_'
 5.129e+05      5.924      3.552  -8.82e-03   3.85e-09  b'Ra5.129e+05_'
 5.248e+05      5.939      3.567  -8.95e-03   4.72e-09  b'Ra5.248e+05_'
 5.370e+05      5.954      3.582  -9.12e-03   2.21e-09  b'Ra5.370e+05_'
 5.495e+05      5.969      3.597  -9.31e-03   2.12e-09  b'Ra5.495e+05_'
 5.623e+05      5.984      3.612  -9.54e-03   4.76e-09  b'Ra5.623e+05_'
 5.754e+05      5.999      3.628  -9.79e-03   4.96e-09  b'Ra5.754e+05_'
 5.888e+05      6.014      3.643  -1.01e-02   3.99e-09  b'Ra5.888e+05_'
 6.026e+05      6.029      3.659  -1.04e-02   3.78e-09  b'Ra6.026e+05_'
 6.166e+05      6.044      3.675  -1.07e-02   3.60e-09  b'Ra6.166e+05_'
 6.310e+05      6.059      3.692  -1.11e-02   5.08e-09  b'Ra6.310e+05_'
 6.457e+05      6.075      3.708  -1.15e-02   3.28e-09  b'Ra6.457e+05_'
 6.607e+05      6.090      3.725  -1.19e-02   7.14e-09  b'Ra6.607e+05_'
 6.761e+05      6.106      3.742  -1.24e-02   2.62e-09  b'Ra6.761e+05_'
 6.918e+05      6.121      3.759  -1.29e-02   4.03e-09  b'Ra6.918e+05_'
 7.079e+05      6.137      3.777  -1.34e-02   4.12e-09  b'Ra7.079e+05_'
 7.244e+05      6.153      3.795  -1.39e-02   5.25e-09  b'Ra7.244e+05_'
